height,pressure,temp,tdew
m,hPa,K,K
4489.00,596.62,265.96,240.25
4501.20,595.68,265.85,240.55
4513.10,594.78,265.75,240.94
4525.70,593.81,265.64,241.64
4538.50,592.84,265.54,241.77
4550.40,591.93,265.47,241.16
4562.50,591.01,265.39,240.81
4574.20,590.12,265.28,241.68
4586.70,589.17,265.17,242.19
4599.80,588.18,265.06,242.25
4612.20,587.24,264.96,242.65
4624.50,586.31,264.86,242.93
4638.20,585.27,264.73,243.04
4651.20,584.29,264.59,243.13
4663.10,583.40,264.49,243.17
4675.90,582.43,264.39,243.03
4690.30,581.35,264.29,242.76
4704.80,580.26,264.17,242.77
4717.30,579.33,264.07,242.78
4729.50,578.41,263.98,242.81
4742.40,577.45,263.87,243.01
4755.70,576.45,263.77,243.18
4767.70,575.56,263.67,243.26
4778.70,574.74,263.61,243.23
4791.60,573.78,263.52,243.08
4804.30,572.84,263.46,242.85
4816.40,571.93,263.39,242.72
4830.20,570.91,263.28,242.67
4842.40,570.01,263.18,242.65
4851.10,569.37,263.11,242.61
4860.30,568.69,263.04,242.60
4870.90,567.90,262.98,242.61
4882.80,567.03,262.91,242.57
4895.20,566.11,262.80,242.44
4906.40,565.29,262.70,242.31
4917.00,564.52,262.61,242.18
4929.30,563.61,262.52,241.98
4942.00,562.68,262.45,241.69
4953.90,561.81,262.42,241.50
4964.90,561.00,262.40,241.48
4976.90,560.13,262.34,241.55
4990.90,559.11,262.23,241.58
5005.10,558.07,262.14,241.48
5018.60,557.10,262.03,241.34
5032.80,556.06,261.90,241.23
5044.90,555.19,261.77,241.18
5054.90,554.46,261.69,241.18
5066.90,553.60,261.58,241.19
5081.60,552.54,261.42,241.21
5095.40,551.54,261.29,241.21
5108.00,550.63,261.18,241.19
5120.00,549.77,261.04,241.15
5129.90,549.06,260.94,241.13
5140.20,548.32,260.85,241.10
5151.90,547.48,260.74,241.07
5164.70,546.56,260.63,241.02
5176.70,545.70,260.52,240.93
5188.40,544.87,260.42,240.88
5200.70,543.99,260.30,240.81
5214.00,543.04,260.18,240.71
5229.20,541.96,260.05,240.63
5243.60,540.93,259.92,240.56
5255.60,540.08,259.79,240.50
5267.60,539.23,259.66,240.40
5280.80,538.29,259.54,240.29
5293.10,537.42,259.44,240.14
5303.00,536.72,259.35,239.94
5312.10,536.08,259.27,239.68
5321.60,535.41,259.21,239.29
5332.90,534.61,259.20,238.72
5347.00,533.62,259.22,237.79
5359.80,532.72,259.28,236.79
5369.30,532.05,259.29,236.17
5378.40,531.42,259.25,235.77
5387.20,530.80,259.21,235.52
5397.00,530.12,259.22,235.18
5409.10,529.27,259.28,234.53
5422.60,528.33,259.35,233.62
5436.60,527.36,259.35,232.88
5448.50,526.53,259.30,232.48
5457.30,525.92,259.24,232.13
5465.40,525.36,259.20,231.90
5475.40,524.67,259.17,231.70
5488.20,523.78,259.12,231.47
5504.30,522.67,259.05,231.22
5519.50,521.63,258.99,230.93
5532.50,520.74,258.95,230.56
5546.30,519.79,258.90,229.77
5559.20,518.90,258.85,228.85
5571.00,518.09,258.81,228.10
5583.30,517.25,258.75,227.41
5595.50,516.42,258.69,226.88
5608.00,515.57,258.61,226.59
5621.60,514.64,258.51,226.37
5635.00,513.73,258.41,226.15
5648.10,512.85,258.33,225.97
5660.80,511.98,258.29,225.65
5672.80,511.17,258.29,225.25
5685.20,510.33,258.24,225.04
5698.30,509.45,258.17,225.02
5711.90,508.53,258.11,225.13
5726.40,507.56,258.04,225.27
5740.80,506.59,257.96,225.35
5753.90,505.71,257.88,225.36
5766.80,504.85,257.82,225.31
5780.70,503.92,257.73,225.27
5793.20,503.09,257.62,225.26
5802.30,502.48,257.54,225.28
5810.10,501.96,257.48,225.25
5818.30,501.41,257.42,225.19
5827.30,500.82,257.41,225.18
5836.90,500.18,257.38,225.11
5848.70,499.39,257.35,224.88
5862.30,498.50,257.30,224.62
5876.00,497.59,257.21,224.36
5889.50,496.70,257.17,224.07
5901.30,495.92,257.15,223.83
5913.00,495.15,257.16,223.66
5926.40,494.27,257.18,223.39
5938.40,493.48,257.18,223.17
5947.90,492.86,257.16,223.06
5957.80,492.21,257.11,222.90
5966.90,491.62,257.11,222.75
5976.10,491.02,257.09,222.63
5986.40,490.35,257.03,222.47
5996.20,489.71,256.95,222.35
6005.30,489.11,256.91,222.26
6014.10,488.54,256.83,222.18
6022.70,487.99,256.76,222.13
6033.70,487.27,256.67,222.00
6048.00,486.34,256.54,221.79
6060.90,485.51,256.40,221.58
6072.40,484.76,256.30,221.34
6084.90,483.96,256.21,221.13
6097.50,483.15,256.10,221.01
6109.80,482.35,255.99,220.89
6123.60,481.46,255.86,220.63
6136.80,480.62,255.74,220.16
6149.60,479.79,255.64,219.61
6163.00,478.94,255.54,219.19
6174.10,478.23,255.45,218.78
6182.30,477.70,255.38,218.39
6190.40,477.19,255.31,218.18
6200.30,476.55,255.24,217.79
6212.80,475.76,255.16,216.81
6226.70,474.88,255.08,215.63
6241.70,473.92,255.06,215.36
6257.90,472.89,255.00,216.41
6273.20,471.92,254.86,217.47
6287.30,471.03,254.73,218.18
6300.80,470.18,254.60,218.70
6314.20,469.33,254.49,219.16
6329.00,468.41,254.37,219.53
6343.50,467.49,254.26,219.30
6355.10,466.76,254.18,218.88
6367.10,466.01,254.09,219.36
6380.30,465.19,253.99,219.92
6394.20,464.32,253.88,219.95
6407.30,463.50,253.77,219.84
6417.30,462.87,253.67,219.76
6426.60,462.29,253.59,219.71
6436.50,461.68,253.52,219.65
6446.00,461.09,253.45,219.57
6457.40,460.38,253.35,219.48
6470.50,459.57,253.22,219.42
6483.90,458.74,253.09,219.41
6498.40,457.84,252.94,219.45
6513.50,456.90,252.80,219.46
6529.30,455.93,252.65,219.44
6543.40,455.06,252.52,219.41
6556.70,454.24,252.39,219.37
6571.10,453.36,252.25,219.35
6586.30,452.43,252.10,219.32
6600.70,451.55,251.96,219.28
6613.20,450.78,251.87,219.24
6625.70,450.02,251.77,219.17
6640.10,449.14,251.63,219.08
6654.00,448.29,251.50,219.01
6667.30,447.48,251.38,218.98
6681.90,446.60,251.26,219.05
6696.70,445.70,251.13,219.05
6711.20,444.82,251.01,218.93
6725.20,443.97,250.89,218.78
6738.10,443.19,250.76,218.62
6751.00,442.42,250.65,218.46
6764.30,441.61,250.57,218.23
6778.20,440.78,250.50,217.91
6792.60,439.91,250.42,217.61
6808.00,438.99,250.31,217.17
6823.00,438.09,250.21,216.71
6836.70,437.27,250.12,216.53
6849.70,436.50,250.00,216.59
6862.60,435.72,249.88,216.70
6876.00,434.93,249.77,216.79
6889.40,434.14,249.67,216.89
6902.70,433.34,249.54,216.92
6916.50,432.52,249.42,217.07
6930.00,431.73,249.32,217.59
6942.50,430.99,249.21,218.00
